scenario_id,repeat,mode,defect,decision,first_decision,defect_intercepted,correct_control_action,retry_performed,retry_count,handoff_present,handoff_reason,human_review_present,latency_ms
VALID_CONTROL,1,OFF,False,BYPASS,,False,True,False,,False,,False,0.0
CROSS_PRODUCT_EVIDENCE_RECOVERY,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
UNVERIFIED_EVIDENCE_RECOVERY,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
OUTPUT_SCHEMA_REGENERATION,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
MCP_SEARCH_TIMEOUT_RECOVERY,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
RETRY_BUDGET_EXHAUSTION,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
NO_EVIDENCE_FAIL_CLOSED,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
SAFETY_CONFLICT_FAIL_CLOSED,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
UNSUPPORTED_FUNCTION_HITL,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
PROCESSING_TIMEOUT_HANDOFF,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
MCP_NONRETRYABLE_HANDOFF,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
RUNTIME_PRODUCT_NOT_APPROVED,1,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
VALID_CONTROL,2,OFF,False,BYPASS,,False,True,False,,False,,False,0.0
CROSS_PRODUCT_EVIDENCE_RECOVERY,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
UNVERIFIED_EVIDENCE_RECOVERY,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
OUTPUT_SCHEMA_REGENERATION,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
MCP_SEARCH_TIMEOUT_RECOVERY,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
RETRY_BUDGET_EXHAUSTION,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
NO_EVIDENCE_FAIL_CLOSED,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
SAFETY_CONFLICT_FAIL_CLOSED,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
UNSUPPORTED_FUNCTION_HITL,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
PROCESSING_TIMEOUT_HANDOFF,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
MCP_NONRETRYABLE_HANDOFF,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
RUNTIME_PRODUCT_NOT_APPROVED,2,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
VALID_CONTROL,3,OFF,False,BYPASS,,False,True,False,,False,,False,0.0
CROSS_PRODUCT_EVIDENCE_RECOVERY,3,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
UNVERIFIED_EVIDENCE_RECOVERY,3,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
OUTPUT_SCHEMA_REGENERATION,3,OFF,True,BYPASS,,False,False,False,,False,,False,0.0
