"review_id","data_id","검수항목","검사방법","결과","측정값","판정","조치","검수일","비고"
"QR-JAC104-001","MAN-SKMAGIC-WPU-JAC104D-JCC104D-REV00","파일 열림 및 무결성","pypdf·pdfinfo·SHA-256 확인","정상","44쪽 / 암호화 없음 / 5,131,906 bytes / SHA-256 0C6B94AF53F23211F5FE542CB7712109E4A769A6F42ED758DA7792FC62E44B2C","적합","없음","2026-07-21","공식 원본은 data/raw에 보관하고 Git 제외"
"QR-JAC104-002","MAN-SKMAGIC-WPU-JAC104D-JCC104D-REV00","제품 모델 및 버전","공식 검색 결과·파일명·매뉴얼 본문 확인","정상","WPU-JAC104D / WPU-JCC104D / REV.00","적합","MVP 답변은 WPU-JAC104D 적용 문구를 우선","2026-07-21","구형 WPU-JAC104S IoT 자료 혼합 금지"
"QR-JAC104-003","MAN-SKMAGIC-WPU-JAC104D-JCC104D-REV00","텍스트 추출 가능성","pypdf 페이지별 추출 후 JSONL 파싱","정상","43/44쪽 텍스트 추출 / 마지막 1쪽 빈 면","적합","빈 마지막 면 청킹 제외","2026-07-21","총 44쪽과 추출 행 44건 일치"
"QR-JAC104-004","MAN-SKMAGIC-WPU-JAC104D-JCC104D-REV00","핵심 표·주의 문구 보존","37-39쪽 PNG 렌더링 후 추출 텍스트와 시각 대조","정상","냉수·무출수·소음·누수·물맛·저출수·온수 안전 7개 청크","적합","해당 청크를 text_and_visual_verified로 표시","2026-07-21","잘림·행 혼합·깨진 한글 없음"
"QR-IAC425-001","MAN-SKMAGIC-WPU-IAC425-REV02","파일 열림 및 무결성","pypdf·pdfinfo·SHA-256 확인","정상","52쪽 / 암호화 없음 / 8,571,676 bytes / SHA-256 97C027CE75BEC40386307C867DD3983513CB70FAC687F2D2DB6F1167EC9CAEC8","적합","없음","2026-07-21","후속 확장 모델 원본"
"QR-IAC425-002","MAN-SKMAGIC-WPU-IAC425-REV02","제품 모델 및 버전","공식 검색 결과·파일명·매뉴얼 본문 확인","정상","WPU-IAC425 / REV.02","적합","expansion_secondary로만 사용","2026-07-21","기본 MVP 인덱스에는 포함하지 않음"
"QR-IAC425-003","MAN-SKMAGIC-WPU-IAC425-REV02","텍스트 추출 가능성","pypdf 페이지별 추출 후 JSONL 파싱","정상","51/52쪽 텍스트 추출 / 마지막 1쪽 빈 면","적합","빈 마지막 면 청킹 제외","2026-07-21","총 52쪽과 추출 행 52건 일치"
"QR-IAC425-004","MAN-SKMAGIC-WPU-IAC425-REV02","얼음 특화 표·절차 보존","37-40쪽·43-46쪽 PNG 렌더링 후 추출 텍스트와 시각 대조","정상","아이스룸 위생·제빙/탈빙 소음·미출빙·얼음 상태 4개 청크","적합","해당 청크를 text_and_visual_verified로 표시","2026-07-21","청소 순서와 금지 조치 시각 확인"
"QR-FAQ-001","FAQ-SKMAGIC-SELECTED-JAC104-IAC425-20260721","FAQ 구조 및 선별 수량","119개 원문 섹션 파싱 후 적용 규칙 20건 검사","정상","직접 1 / 공통 안전 3 / 공통 미확인 11 / 이미지 2 / 타 모델·제품군 3","조건부 적합","직접 1건과 매뉴얼 일치 안전 3건만 우선 후보","2026-07-21","후보 20건을 사용 가능 20건으로 표현하지 않음"
"QR-FAQ-002","FAQ-SKMAGIC-SELECTED-JAC104-IAC425-20260721","모델 적용성","applicability와 allowed_use 값 검사","정상","제외 대상 3건에 other_model_only 또는 other_product_family 부여","적합","RAG 필터에서 제외","2026-07-21","WPUI100·110·200·210 전용 FAQ를 IAC425에 사용하지 않음"
"QR-DATA-001","PROC-JAC104-IAC425-20260721","JSONL·CSV 문법","Python json·csv 전체 로드","정상","manual_pages 96 / FAQ 20 / RAG 11 / 모델 2 / 출처 3","적합","없음","2026-07-21","모든 행 파싱 성공"
"QR-DATA-002","SYN-WPU-JAC104D-DEMO-20260721","개인정보 및 논리 일관성","필드·모델·근거 청크·개인 식별값 검사","정상","실제 이름·전화번호·주소·고객번호·결제정보 0건","적합","합성 식별자만 유지","2026-07-21","공식·팀 설계·합성 분류 필드 포함"
"QR-LEGAL-001","ALL-CURRENT-DATA","원본 공개 및 재배포 위험","gitignore·저장 경로·인계 방식 확인","정상","data/raw Git 제외 / ZIP 0개 / 구조화 근거만 저장소 공유","조건부 적합","명시적 재배포 허가 전 공식 PDF 외부 업로드 금지","2026-07-21","출처·버전·페이지·요약은 보고서와 데이터에 표시"

