"issue_id","구분","대상","상태","설명","프로젝트영향","현재대응","추가조치","우선순위","확인대상"
"ISSUE-001","범위","기본 MVP 모델","해소","PM 승인으로 WPUJAC104DWH 기본 MVP·WPUIAC425SNW 후속 확장 확정","모델 혼선 제거","model_scope와 PM 결정서 반영","구현에서 exact_model 필터 확인","완료","PM·B·D·E"
"ISSUE-002","이전 산출물","WPU-IAC506","해소","원격 커밋 e909835에서 기존 산출물을 저장소 삭제하고 신규 구현 사용 금지 표시","과거 모델 데이터 오사용 방지","removed_legacy로 취급하고 운영 테이블·검색 인덱스 레코드 생성 금지","PR 리뷰 시 표준 경로에 IAC506 참조가 없는지 확인","완료","전원"
"ISSUE-003","모델 적용성","선별 FAQ 20건","조건부","모델 계열 직접 적용 1건·공통 안전 3건 외 다수는 적용 미확인","FAQ 단독 답변 시 오안내 가능","applicability와 allowed_use로 사용 범위 제한","RAG 적재 시 허용 상태 필터 강제","높음","팀원 B"
"ISSUE-004","본문 완전성","FAQ 이미지 답변 2건","사용 보류","답변 본문이 이미지에만 있어 텍스트 검증 불가","검색·근거 인용 불가","image_only_unverified로 분류하고 RAG 제외","필요성이 생길 때만 OCR 후 매뉴얼 대조","낮음","팀원 B·C"
"ISSUE-005","출처 재현성","공식 FAQ","부분 확보","고정 개별 URL과 전체 콘텐츠 ID를 확보하지 못함","개별 FAQ 직접 링크 제공 제한","공식 목록 URL·제목·FAQ 번호·원본 스냅샷 해시 기록","실제 채택 FAQ만 콘텐츠 ID 추가 확인","중간","팀원 C"
"ISSUE-006","품질","매뉴얼 전체 96쪽","부분 검수","핵심 페이지는 시각 검수했으나 나머지는 텍스트 추출만 완료","비핵심 기능을 추가 청킹할 때 표 구조 오류 가능","검증 완료 청크만 현재 RAG 샘플에 포함","추가 기능 채택 시 해당 페이지만 시각 검수","중간","팀원 B·C"
"ISSUE-007","저작권","공식 매뉴얼·FAQ 원문","내부 전용","명시적 원문 재배포 라이선스 미확보","공개 저장소에 원문 업로드 불가","data/raw와 ZIP을 Git 제외하고 구조화 요약만 공유","원문 외부 배포 필요 시 제공기관 허가 확인","상시","PM"
"ISSUE-008","업무 정책","상담·방문 상태 전이","팀 설계","공식 매뉴얼은 상담 조건을 제공하지만 내부 처리 상태 정책은 제공하지 않음","팀 설계 흐름을 공식 정책으로 오해할 수 있음","team_designed 분류를 데이터와 화면에 표시","팀원 D·E가 상태 코드와 표시명을 합의","높음","팀원 D·E"
"ISSUE-009","관리 정책","방문관리 주기·서비스 범위","부분 미확보","상품 페이지의 관리 유형 외 세부 계약별 공식 운영 기준 미수집","케어 일정 자동 확정 불가","MVP에서 관리 일정은 확정 답변하지 않고 상담 연결","공식 운영 기준 확보 전 team_designed 유지","중간","PM·팀원 D"
"ISSUE-010","자동 수집","기존 FAQ 119건","미확보","기존 크롤링 실행 환경·요청 간격·재시도 로그 없음","동일 조건 재수집이 어려움","원본·수집일·해시 보존, 이번 선별 과정은 스크립트화","FAQ 갱신 필요 시 수집기 재작성","낮음","팀원 C"
"ISSUE-011","문서 계보","WPUJAC104SWH","부분 확보","정확 코드 공식 검색에서 제품 사용설명서가 아니라 REV.01 IoT 가이드만 확인됨","S 세대 자료를 D 세대에 적용하면 IoT 기능 오안내 발생","S 세대 문서를 legacy_excluded로 격리하고 D 세대 RAG 사용 금지","S 세대 지원 범위가 필요할 때 별도 원문 수집·검증","높음","팀원 B·C·E"
"ISSUE-012","검색 코드","WPU-JAC104S","검색 실패","하이픈 포함 코드로 공식 서비스 검색 시 0건; WPUJAC104S 재검색 시 S 변형 5개 확인","표기형 모델명을 그대로 검색하면 공식 자료를 누락할 수 있음","판매 코드 형식 재검색 결과와 변형 코드를 model_document_lineage.csv에 기록","모델 조회 시 sales_or_search_code 정규화 적용","중간","팀원 C"
"ISSUE-013","FAQ 모델 적용성","출수 용량 편차 FAQ","조건부","공식 본문은 WPUJAC104·WPUJCC104만 표기하며 D/S 세대와 현재 판매 코드 WPUJAC104DWH를 명시하지 않음","FAQ를 D 세대 단독 근거로 사용하면 세대별 설정 차이 오안내 가능","exact_sales_code_match=false·generation_scope=unspecified·매뉴얼 우선으로 메타데이터화","RAG에서 MAN-WPU-JAC104D-P38-LOW-FLOW와 함께 검색될 때만 보조 사용","높음","팀원 B·E"
"ISSUE-014","목업 근거","DEMO_METADATA","저장소 내 미확인","전체 저장소 검색에서 해당 필드·상수·파일을 확인하지 못해 구조와 출처를 검증할 수 없음","화면 목업 메타데이터가 공식 근거로 오인될 수 있음","발견 시 demo_or_team_designed로 분류하고 공식 근거 사용 금지","목업 저장소·브랜치 전달 후 source registry 연결 여부 재검수","높음","팀원 A·C·E"
"ISSUE-015","후속 확장","WPU-IAC425","보류","원문과 핵심 청크는 확보했지만 팀원 A 피드백에 따라 JAC104D 검증 완료 후 확장하기로 함","MVP 인덱스에 혼입되면 범위와 테스트 복잡도 증가","scope_role=expansion_secondary 유지·기본 MVP 검색에서 제외","PM 후속 확장 승인 시 직접 다운로드 URL과 전체 문서 계보 재검증","중간","PM·팀원 B·C"
