model_key,model_id,family,size,case_id,source_case_id,api_success,relevant_message_selected,message_in_context,actions_allowed,downstream_accepted,latency_ms,input_tokens,cached_input_tokens,cache_write_tokens,output_tokens,reasoning_tokens,total_tokens,attempt_count,error_type
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-001,RAG3-POS-001,True,True,True,True,True,5458.573,6344,0,0,297,0,6641,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-002,RAG3-POS-002,True,True,True,True,True,4307.579,6638,0,0,297,0,6935,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-003,RAG3-POS-003,True,True,True,True,True,4307.76,6639,0,0,297,0,6936,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-004,RAG3-POS-004,True,True,True,True,True,4740.214,6470,0,0,292,0,6762,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-005,RAG3-POS-005,True,False,True,True,False,5734.776,6211,0,0,286,0,6497,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-006,RAG3-POS-006,True,True,True,True,True,5921.009,6162,0,0,287,0,6449,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-007,RAG3-POS-007,True,False,True,True,True,3785.478,6620,0,0,287,0,6907,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-008,RAG3-POS-008,True,False,True,True,True,3738.768,7237,0,0,290,0,7527,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-009,RAG3-POS-010,True,False,True,True,False,4009.603,6243,0,0,286,0,6529,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-010,RAG3-POS-011,True,False,True,True,True,3347.149,6724,0,0,290,0,7014,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-011,RAG3-POS-012,True,True,True,True,True,3787.517,6828,0,0,287,0,7115,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-012,RAG3-POS-013,True,False,True,True,True,3638.198,6410,0,0,287,0,6697,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-013,RAG3-POS-014,True,True,True,True,True,4204.863,6906,0,0,298,0,7204,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-014,RAG3-POS-015,True,False,True,True,True,3717.542,6261,0,0,292,0,6553,1,
gpt_4o_mini,gpt-4o-mini-2024-07-18,4o,mini,E04V2-GEN-015,RAG3-POS-016,True,True,True,True,True,3719.114,6946,0,0,292,0,7238,1,
