"issue_id","구분","대상","상태","설명","프로젝트영향","현재대응","추가조치","우선순위","확인대상"
"ISSUE-001","범위","기본 MVP 모델","해소","PM 승인으로 WPUJAC104DWH 기본 MVP·WPUIAC425SNW 후속 확장 확정","모델 혼선 제거","model_scope와 PM 결정서 반영","구현에서 exact_model 필터 확인","완료","PM·B·D·E"
"ISSUE-002","이전 산출물","WPU-IAC506","해소","기존 산출물을 archive로 이동하고 신규 구현 사용 금지 표시","과거 모델 데이터 오사용 방지","archive README와 데이터 가이드에 폐기 상태 명시","PR 리뷰 시 표준 경로만 참조되는지 확인","완료","전원"
"ISSUE-003","모델 적용성","선별 FAQ 20건","조건부","모델 계열 직접 적용 1건·공통 안전 3건 외 다수는 적용 미확인","FAQ 단독 답변 시 오안내 가능","applicability와 allowed_use로 사용 범위 제한","RAG 적재 시 허용 상태 필터 강제","높음","팀원 B"
"ISSUE-004","본문 완전성","FAQ 이미지 답변 2건","사용 보류","답변 본문이 이미지에만 있어 텍스트 검증 불가","검색·근거 인용 불가","image_only_unverified로 분류하고 RAG 제외","필요성이 생길 때만 OCR 후 매뉴얼 대조","낮음","팀원 B·C"
"ISSUE-005","출처 재현성","공식 FAQ","부분 확보","고정 개별 URL과 전체 콘텐츠 ID를 확보하지 못함","개별 FAQ 직접 링크 제공 제한","공식 목록 URL·제목·FAQ 번호·원본 스냅샷 해시 기록","실제 채택 FAQ만 콘텐츠 ID 추가 확인","중간","팀원 C"
"ISSUE-006","품질","매뉴얼 전체 96쪽","부분 검수","핵심 페이지는 시각 검수했으나 나머지는 텍스트 추출만 완료","비핵심 기능을 추가 청킹할 때 표 구조 오류 가능","검증 완료 청크만 현재 RAG 샘플에 포함","추가 기능 채택 시 해당 페이지만 시각 검수","중간","팀원 B·C"
"ISSUE-007","저작권","공식 매뉴얼·FAQ 원문","내부 전용","명시적 원문 재배포 라이선스 미확보","공개 저장소에 원문 업로드 불가","data/raw와 ZIP을 Git 제외하고 구조화 요약만 공유","원문 외부 배포 필요 시 제공기관 허가 확인","상시","PM"
"ISSUE-008","업무 정책","상담·방문 상태 전이","팀 설계","공식 매뉴얼은 상담 조건을 제공하지만 내부 처리 상태 정책은 제공하지 않음","팀 설계 흐름을 공식 정책으로 오해할 수 있음","team_designed 분류를 데이터와 화면에 표시","팀원 D·E가 상태 코드와 표시명을 합의","높음","팀원 D·E"
"ISSUE-009","관리 정책","방문관리 주기·서비스 범위","부분 미확보","상품 페이지의 관리 유형 외 세부 계약별 공식 운영 기준 미수집","케어 일정 자동 확정 불가","MVP에서 관리 일정은 확정 답변하지 않고 상담 연결","공식 운영 기준 확보 전 team_designed 유지","중간","PM·팀원 D"
"ISSUE-010","자동 수집","기존 FAQ 119건","미확보","기존 크롤링 실행 환경·요청 간격·재시도 로그 없음","동일 조건 재수집이 어려움","원본·수집일·해시 보존, 이번 선별 과정은 스크립트화","FAQ 갱신 필요 시 수집기 재작성","낮음","팀원 C"

