variant,case_id,case_type,exact_sales_code,expected_no_evidence,gate_blocked,gate_execution_path,ranked_result_count,hit_at_1,hit_at_3,hit_at_5,recall_at_1,recall_at_3,recall_at_5,mrr_at_5,ndcg_at_5,first_relevant_rank,no_evidence_success,wrong_product_hit_count,forbidden_model_hit_count,invalid_role_hit_count,ranking_latency_ms,passed
current,RAG3-POS-001,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,2.9427,True
current,RAG3-POS-002,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.1331,True
current,RAG3-POS-003,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0946,True
current,RAG3-POS-004,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0933,True
current,RAG3-POS-005,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0761,True
current,RAG3-POS-006,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0591,True
current,RAG3-POS-007,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0387,True
current,RAG3-POS-008,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0388,True
current,RAG3-POS-009,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0423,True
current,RAG3-POS-010,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0388,True
current,RAG3-POS-011,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0366,True
current,RAG3-POS-012,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0428,True
current,RAG3-POS-013,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0544,True
current,RAG3-POS-014,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0477,True
current,RAG3-POS-015,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0499,True
current,RAG3-POS-016,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.1097,True
current,RAG3-POS-017,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0457,True
current,RAG3-POS-018,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.066,True
current,RAG3-POS-019,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0668,True
current,RAG3-POS-020,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0738,True
current,RAG3-POS-021,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0409,True
current,RAG3-POS-022,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0449,True
current,RAG3-POS-023,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0405,True
current,RAG3-POS-024,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0443,True
current,RAG3-POS-025,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0378,True
current,RAG3-POS-026,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0601,True
current,RAG3-POS-027,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0457,True
current,RAG3-POS-028,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.068,True
current,RAG3-POS-029,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0627,True
current,RAG3-POS-030,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0386,True
current,RAG3-POS-031,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0368,True
current,RAG3-POS-032,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0362,True
current,RAG3-POS-033,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0365,True
current,RAG3-POS-034,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0361,True
current,RAG3-POS-035,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0368,True
current,RAG3-POS-036,POSITIVE,WPUIAC606SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.04,True
current,RAG3-POS-037,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0795,True
current,RAG3-POS-038,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0618,True
current,RAG3-POS-039,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.036,False
current,RAG3-POS-040,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0332,True
current,RAG3-POS-041,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.039,False
current,RAG3-POS-042,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.0677,False
current,RAG3-POS-043,POSITIVE,WPUJAC104DWH,False,False,PGVECTOR_QUERY,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0,0,0.0731,False
current,RAG3-NEG-001,NEGATIVE,WPUJAC104DWH,True,True,POLICY_BLOCK_UNSUPPORTED_CAPABILITY,0,,,,,,,,,,True,0,0,0,0.0,True
current,RAG3-NEG-002,NEGATIVE,WPUIAC425SNW,True,False,PGVECTOR_QUERY,5,,,,,,,,,,False,0,5,0,0.0657,False
current,RAG3-NEG-003,NEGATIVE,WPUIAC606SNW,True,False,PGVECTOR_QUERY,5,,,,,,,,,,False,0,5,0,0.048,False
current,RAG3-NEG-004,NEGATIVE,WPUJCC104D,True,True,POLICY_BLOCK_UNSUPPORTED_MODEL,0,,,,,,,,,,True,0,0,0,0.0,True
current,RAG3-NEG-005,NEGATIVE,WPUIAC506SNW,True,True,POLICY_BLOCK_UNSUPPORTED_MODEL,0,,,,,,,,,,True,0,0,0,0.0,True
current,RAG3-NEG-006,NEGATIVE,UNVERIFIED_FAQ,True,True,POLICY_BLOCK_UNSUPPORTED_MODEL,0,,,,,,,,,,True,0,0,0,0.0,True
current,RAG3-NEG-007,NEGATIVE,WPUIAC999ZZZ,True,True,POLICY_BLOCK_UNSUPPORTED_MODEL,0,,,,,,,,,,True,0,0,0,0.0,True
fixed512,RAG3-POS-001,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.1827,True
fixed512,RAG3-POS-002,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0853,True
fixed512,RAG3-POS-003,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0587,True
fixed512,RAG3-POS-004,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0462,True
fixed512,RAG3-POS-005,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0453,True
fixed512,RAG3-POS-006,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0424,True
fixed512,RAG3-POS-007,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0413,True
fixed512,RAG3-POS-008,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0412,True
fixed512,RAG3-POS-009,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0422,True
fixed512,RAG3-POS-010,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0419,True
fixed512,RAG3-POS-011,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0413,True
fixed512,RAG3-POS-012,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.63093,2,,0,0,0,0.0428,True
fixed512,RAG3-POS-013,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0611,True
fixed512,RAG3-POS-014,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.0449,True
fixed512,RAG3-POS-015,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,0.0,1.0,1.0,0.0,1.0,1.0,0.333333,0.5,3,,0,0,0,0.051,True
fixed512,RAG3-POS-016,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0424,True
fixed512,RAG3-POS-017,POSITIVE,WPUIAC425SNW,False,False,PGVECTOR_QUERY,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,0,0,0,0.0401,True
