"review_id","data_id","검수항목","검사방법","결과","측정값","판정","조치","검수일","비고"
"QR-MAN-001","MAN-SKMAGIC-WPU-IAC506-REV00","파일 열림 및 무결성","pypdf, pdfinfo, SHA-256 확인","정상","50쪽 / 암호화 없음 / 9,159,849 bytes / 등록 해시 일치","적합","없음","2026-07-20","PDF JavaScript와 양식 없음"
"QR-MAN-002","MAN-SKMAGIC-WPU-IAC506-REV00","제품 모델 및 버전","표지와 추출 텍스트 확인","정상","WPU-IAC506 / REV.00 / PDF 생성일 2026-04-09","적합","없음","2026-07-20","MVP 확정 모델과 일치"
"QR-MAN-003","MAN-SKMAGIC-WPU-IAC506-REV00","텍스트 추출 가능성","pypdf 페이지별 텍스트 추출","정상","49/50쪽 텍스트 추출 / 50쪽은 빈 마지막 면","적합","빈 50쪽은 향후 청킹 대상에서 제외","2026-07-20","핵심 페이지 3, 5, 35, 42-45쪽에서 텍스트 추출 확인"
"QR-MAN-004","MAN-SKMAGIC-WPU-IAC506-REV00","표·주의 문구·레이아웃 보존","1, 3, 5, 35, 42, 44, 45쪽 PNG 렌더링 후 시각 검수","정상","표지, 안전 경고, 필터 주기표, 고장 확인표 7쪽 표본 검수","적합","없음","2026-07-20","잘림, 겹침, 깨진 한글, 검은 사각형 없음"
"QR-MAN-005","MAN-SKMAGIC-WPU-IAC506-REV00","핵심 공식 근거 포함","목차와 핵심 페이지 내용 확인","정상","안전 3-7쪽 / 필터 주기 35쪽 / 고장 확인 42-45쪽","적합","5단계에서 대표 증상별 근거 범위 연결","2026-07-20","출수, 누수, 물맛·냄새, 냉·온수 관련 내용 포함"
"QR-MAN-006","MAN-SKMAGIC-WPU-IAC506-REV00","공식 원본 위치 재현성","메타데이터 원본 위치와 공식 사이트 확인","공식 다운로드 경로 확인","SK인텔릭스서비스 제품 사용설명서 검색·다운로드 화면","적합","공식 경로를 원본 목록과 RAG 샘플에 반영","2026-07-20","특정 PDF의 영구 직접 URL은 별도 보존하지 않았으며 제품 선택형 공식 화면을 출처로 기록"
"QR-FAQ-001","FAQ-SKMAGIC-WATER-PURIFIER-20260715","파일 열림 및 구조 파싱","UTF-8 로드 및 Markdown 섹션 정규식 검사","정상","119개 섹션 / 번호 1-119 연속 / 79,555 bytes","적합","없음","2026-07-20","수집 건수 표기와 실제 파싱 건수 일치"
"QR-FAQ-002","FAQ-SKMAGIC-WATER-PURIFIER-20260715","정확히 동일한 제목 중복","FAQ 제목 완전 일치 그룹 검사","중복 없음","동일 제목 중복 0건","적합","유사 의미 중복은 대표 샘플 선별 단계에서만 확인","2026-07-20","전량 정제는 수행하지 않음"
"QR-FAQ-003","FAQ-SKMAGIC-WATER-PURIFIER-20260715","WPU-IAC506 모델 적용성","수집본 모델명 검사와 공식 고객지원 화면의 WPUIAC506 수동 검색","모델·매뉴얼 연결 확인 / 핵심 증상 직접 연결 없음","수집본 WPU-IAC506 언급 0건 / 공식 검색 11건 중 모델 연결 FAQ 1건·매뉴얼 2건 / 타 모델 제목 8건","조건부 적합","타 모델 전용 항목을 제외하고 공통 FAQ도 WPU-IAC506 매뉴얼과 일치할 때만 보조 근거로 사용","2026-07-20","공식 모델 검색에 직접 연결된 FAQ는 밝기 설정 1건이며 핵심 4개 증상은 아님"
"QR-FAQ-004","FAQ-SKMAGIC-WATER-PURIFIER-20260715","답변 본문 완전성","이미지 링크와 텍스트 본문 존재 여부 검사","일부 불완전","원격 이미지 19개 / 이미지에만 답변이 있는 항목 8건(4-11번)","조건부 적합","대표 증상에 필요한 이미지 전용 항목만 별도 확인하거나 매뉴얼 근거로 대체","2026-07-20","원격 이미지 파일은 로컬에 보존되지 않음"
"QR-FAQ-005","FAQ-SKMAGIC-WATER-PURIFIER-20260715","개별 출처 재현성","수집본 원문 링크 검사와 공식 고객지원 화면의 대표 증상 수동 검색","고정 개별 URL 없음 / 대표 콘텐츠 ID 확보","수집본 119개 항목은 동일 목록 URL / 대표 4개 증상과 모델 연결 FAQ 1개의 공식 콘텐츠 ID 확인","조건부 적합","후보 CSV의 공식 제목·콘텐츠 ID·검색어로 대표 항목을 재식별하고 고정 URL이 있는 것처럼 표현하지 않음","2026-07-20","상세 화면 주소는 변하지 않으며 전체 119건의 콘텐츠 ID를 확보한 것은 아님"
"QR-FAQ-006","FAQ-SKMAGIC-WATER-PURIFIER-20260715","크롤링 재현성","수집 결과와 프로젝트 파일 목록 확인","실행 근거 미확보","크롤링 결과 1파일만 존재 / 스크립트·실행 환경·오류 로그 없음","보완 필요","보고서에 현재 한계를 기록하고 재수집이 필요할 때만 스크립트 확보","2026-07-20","기획 단계에서 크롤러 재구현은 하지 않음"
"QR-FAQ-007","FAQ-SKMAGIC-WATER-PURIFIER-20260715","파일 무결성","SHA-256 확인","정상","등록 해시 일치 / 원본 복사 과정 변조 없음","적합","없음","2026-07-20","수집 내용의 정확성과 모델 적용성은 별도 판정"
