"coverage_id","요구범위","관련요구사항","우선공식근거","페이지_구간","FAQ_보조후보","확보상태","판정근거","기획서_활용방안","제한사항_추가조치"
"COV-001","MVP 지원 모델 식별","CR-002, FR-002, FR-003","MAN-SKMAGIC-WPU-IAC506-REV00","1, 46-47","없음","확보 완료","표지와 제품규격에 WPU-IAC506이 명시됨","지원 모델을 WPU-IAC506 단일 모델로 명시","없음"
"COV-002","제품 사양과 기능","FR-002, DR-003","MAN-SKMAGIC-WPU-IAC506-REV00","9-15, 46-47","없음","확보 완료","제품명, 크기, 전압, 냉각방식, 필터 구성과 주요 기능 확인 가능","제품 식별과 화면 표시용 공식 사양 근거로 사용","계약·구독 정보는 공식 매뉴얼 범위가 아니므로 가상 데이터로 별도 설계"
"COV-003","대표 증상: 출수량 저하·무출수","CR-003, FR-015, FR-017, FR-018","MAN-SKMAGIC-WPU-IAC506-REV00","31, 43","FAQ 95, 105","확보 완료","필터 수명, 동시 수전 사용, 낮은 수압, 밸브 잠김, 케어 동작과 호스 상태의 확인 기준이 모델 매뉴얼에 존재","출수량 저하의 점검 후보와 안전한 확인 순서 샘플에 사용","FAQ 2는 다른 모델 예시가 있어 제외. FAQ는 모델 공통 여부를 확정하지 않고 보조 후보로만 표시"
"COV-004","대표 증상: 물맛·냄새 이상","CR-003, FR-015, FR-017, FR-018","MAN-SKMAGIC-WPU-IAC506-REV00","34, 44","FAQ 70, 115","확보 완료","장기 미사용, 필터 상태, 자동 필터 세척, 직수관케어와 미세기포 확인 기준이 모델 매뉴얼에 존재","물맛·냄새 문의의 확인 질문과 조치 후보 샘플에 사용","FAQ 93은 냉수탱크 전제를 포함해 제외. FAQ 111의 광범위한 건강 관련 설명은 고객 안내 근거에서 제외"
"COV-005","대표 증상: 누수","CR-003, FR-013, FR-018, FR-019","MAN-SKMAGIC-WPU-IAC506-REV00","5, 34, 44","FAQ 30, 38, 103","확보 완료","누수 시 중간 밸브를 잠그고 고객상담센터에 연락하는 안전 조치가 명시됨","위험도 우선 판정과 상담 전환 규칙 샘플에 사용","고객에게 분해·재조립을 지시하지 않음"
"COV-006","대표 증상: 냉수 온도 이상","CR-003, FR-015, FR-017, FR-018","MAN-SKMAGIC-WPU-IAC506-REV00","42","FAQ 107, 118","확보 완료","전원, 연속 출수, 잠금, 방열팬 먼지 필터, 제빙우선 모드와 2시간 후 상담 기준이 명시됨","냉수 이상 점검 후보와 상담 전환 시점 샘플에 사용","FAQ는 WPU-IAC506 적용이 확인되지 않아 매뉴얼과 일치하는 일반 내용만 보조 후보로 사용"
"COV-007","대표 증상: 온수 온도·출수 이상","CR-003, FR-013, FR-015, FR-017, FR-019","MAN-SKMAGIC-WPU-IAC506-REV00","17, 45","없음","확보 완료","온수 잠금, 원수압, 순간온수 히터 점검, 스팀과 빨간 표시등 발생 시 상담 기준이 명시됨","온수 이상과 화상·히터 위험 분기 샘플에 사용","FAQ 54, 57, 104는 버튼 구성과 일반 모델 전제가 달라 고객 안내 근거에서 제외"
"COV-008","필터 교체 방법과 주기","FR-004, CR-012","MAN-SKMAGIC-WPU-IAC506-REV00","31-35","없음","확보 완료","프리 블록카본(S) 4개월, 복합 나노PAC(S) 12개월과 교체·세척 절차가 명시됨","케어 일정 산정 근거와 관리 기준 샘플에 사용","사용량과 원수 수질에 따라 실제 주기가 짧아질 수 있음을 함께 표시"
"COV-009","청소·정기 관리 기준","FR-004, CR-012","MAN-SKMAGIC-WPU-IAC506-REV00","16, 34, 36-41","없음","확보 완료","토출구 주 1회, 방열팬 먼지 필터 최소 4개월 1회와 부위별 청소 절차가 명시됨","사전 케어 알림 항목과 점검 체크리스트 근거로 사용","전문가 청소 영역과 고객이 직접 가능한 청소 영역을 구분"
"COV-010","안전 안내와 사용 중지 기준","FR-013, FR-018, FR-019, NFR-004, CR-010","MAN-SKMAGIC-WPU-IAC506-REV00","3-7, 34, 44-45","FAQ 108","확보 완료","감전·화재·누수·타는 냄새·히터 고장 시 밸브 잠금, 전원 분리 또는 상담 지침이 존재","위험 규칙을 생성형 AI보다 우선 적용하는 근거로 사용","고객에게 분해, 부품 교체, 전기 계통 점검을 안내하지 않음"
